fsize,func_elapsed,fwrite_elapsed,provider,lang
1024,0.000347057,0.000207838,aws,javascript
1024,0.000200375,0.000119413,aws,javascript
1024,0.00023425,0.000139086,aws,javascript
1024,0.000116977,0.000070817,aws,javascript
1024,0.000109856,0.000065742,aws,javascript
1024,0.000204801,0.000107740,aws,javascript
1024,0.000099903,0.000056103,aws,javascript
1024,0.000096619,0.000056058,aws,javascript
1024,0.000096850,0.000056286,aws,javascript
1024,0.000102519,0.000062948,aws,javascript
1024,0.000260740,0.000192490,aws,javascript
1024,0.000097723,0.000057530,aws,javascript
1024,0.000098918,0.000058803,aws,javascript
1024,0.000103134,0.000061485,aws,javascript
1024,0.000114042,0.000070494,aws,javascript
1024,0.000376813,0.000331833,aws,javascript
1024,0.000358568,0.000309567,aws,javascript
1024,0.000129272,0.000080599,aws,javascript
1024,0.000170352,0.000079812,aws,javascript
1024,0.000131324,0.000083693,aws,javascript
1024,0.000155498,0.000085549,aws,javascript
1024,0.019779186,0.019662027,aws,javascript
1024,0.000159679,0.000111203,aws,javascript
1024,0.000127120,0.000078294,aws,javascript
1024,0.000214214,0.000111546,aws,javascript
1024,0.000408915,0.000361140,aws,javascript
1024,0.000132610,0.000079911,aws,javascript
1024,0.000194129,0.000070506,aws,javascript
1024,0.000122654,0.000079899,aws,javascript
1024,0.001458282,0.001416646,aws,javascript
1024,0.000215556,0.000065806,aws,javascript
1024,0.00011524,0.000058426,aws,javascript
1024,0.000095289,0.000055118,aws,javascript
1024,0.000114618,0.0000542,aws,javascript
1024,0.000093616,0.000053970,aws,javascript
1024,0.000095288,0.000056376,aws,javascript
1024,0.000142770,0.000054125,aws,javascript
1024,0.00009403,0.00005445,aws,javascript
1024,0.00009464,0.000054933,aws,javascript
1024,0.000094589,0.000054885,aws,javascript
1024,0.000094158,0.000054453,aws,javascript
1024,0.000096605,0.000054001,aws,javascript
1024,0.000183097,0.000087569,aws,javascript
1024,0.005525573,0.005136596,aws,javascript
1024,0.000095833,0.000055573,aws,javascript
1024,0.000096226,0.000054818,aws,javascript
1024,0.000094429,0.000054831,aws,javascript
1024,0.000094822,0.000055465,aws,javascript
1024,0.000093994,0.00005437,aws,javascript
1024,0.000094315,0.000054963,aws,javascript
1024,0.000094408,0.000054729,aws,javascript
1024,0.000095789,0.000054198,aws,javascript
1024,0.000093674,0.000054600,aws,javascript
1024,0.000095250,0.000055756,aws,javascript
1024,0.000094394,0.00005462,aws,javascript
1024,0.000093682,0.000054227,aws,javascript
1024,0.000093845,0.000054511,aws,javascript
1024,0.000094489,0.000054801,aws,javascript
1024,0.000096489,0.000055106,aws,javascript
1024,0.000092598,0.000053566,aws,javascript
1024,0.000101702,0.000054839,aws,javascript
1024,0.000093044,0.000053759,aws,javascript
1024,0.000094654,0.000055052,aws,javascript
1024,0.000094143,0.000054679,aws,javascript
1024,0.000202592,0.000107689,aws,javascript
1024,0.00009456,0.000055088,aws,javascript
1024,0.000093475,0.000054486,aws,javascript
1024,0.000093303,0.000053796,aws,javascript
1024,0.000093544,0.000054170,aws,javascript
1024,0.000181196,0.000084783,aws,javascript
1024,0.00009645,0.000054329,aws,javascript
1024,0.000093203,0.000053907,aws,javascript
1024,0.000094292,0.000055125,aws,javascript
1024,0.000093826,0.000054198,aws,javascript
1024,0.000110582,0.000055177,aws,javascript
1024,0.000094520,0.000054300,aws,javascript
1024,0.000119115,0.000055631,aws,javascript
1024,0.000101357,0.000060598,aws,javascript
1024,0.000106568,0.000062679,aws,javascript
1024,0.000117365,0.000070940,aws,javascript
1024,0.000194364,0.000092871,aws,javascript
1024,0.000125131,0.000076246,aws,javascript
1024,0.000126504,0.000077832,aws,javascript
1024,0.000167856,0.000081001,aws,javascript
1024,0.000126540,0.000078306,aws,javascript
1024,0.000127769,0.000078671,aws,javascript
1024,0.000123922,0.000076251,aws,javascript
1024,0.000126922,0.000078064,aws,javascript
1024,0.000127938,0.000078222,aws,javascript
1024,0.000129537,0.000077603,aws,javascript
1024,0.000125789,0.000077948,aws,javascript
1024,0.000203829,0.000079555,aws,javascript
1024,0.000343591,0.000241036,aws,javascript
1024,0.033897134,0.032531399,aws,javascript
1024,0.000124233,0.000077426,aws,javascript
1024,0.000123958,0.000077255,aws,javascript
1024,0.000123299,0.000077199,aws,javascript
1024,0.000123882,0.000077522,aws,javascript
1024,0.000196098,0.000078544,aws,javascript
1024,0.000123249,0.000077426,aws,javascript
