fsize,func_elapsed,fwrite_elapsed,provider,lang
10240,0.24204134941101074,0.2014453411102295,aws,python
10240,0.12133169174194336,0.10134315490722656,aws,python
10240,0.10022783279418945,0.09845781326293945,aws,python
10240,0.10608148574829102,0.10431218147277832,aws,python
10240,0.09992647171020508,0.09811139106750488,aws,python
10240,0.10493278503417969,0.1030731201171875,aws,python
10240,0.10841703414916992,0.10665416717529297,aws,python
10240,0.10245919227600098,0.10068392753601074,aws,python
10240,0.10459637641906738,0.10282230377197266,aws,python
10240,0.0879669189453125,0.08606839179992676,aws,python
10240,0.09984111785888672,0.0980844497680664,aws,python
10240,0.09054923057556152,0.08876919746398926,aws,python
10240,0.1009676456451416,0.09919404983520508,aws,python
10240,0.10268926620483398,0.1008458137512207,aws,python
10240,0.08869695663452148,0.08688807487487793,aws,python
10240,0.08833575248718262,0.08647966384887695,aws,python
10240,0.1032414436340332,0.10143065452575684,aws,python
10240,0.08823180198669434,0.08641815185546875,aws,python
10240,0.10823488235473633,0.10642194747924805,aws,python
10240,0.0983743667602539,0.09650325775146484,aws,python
10240,0.11732959747314453,0.11556148529052734,aws,python
10240,0.09655594825744629,0.09485197067260742,aws,python
10240,0.12164592742919922,0.11984562873840332,aws,python
10240,0.10195302963256836,0.1001443862915039,aws,python
10240,0.12563109397888184,0.12386798858642578,aws,python
10240,0.09268307685852051,0.09072256088256836,aws,python
10240,0.09794735908508301,0.0960693359375,aws,python
10240,0.12221837043762207,0.12039637565612793,aws,python
10240,0.08916044235229492,0.08733344078063965,aws,python
10240,0.09239745140075684,0.09051895141601562,aws,python
10240,0.09127688407897949,0.08957386016845703,aws,python
10240,0.08277034759521484,0.08089256286621094,aws,python
10240,0.3299679756164551,0.32823872566223145,aws,python
10240,0.12875032424926758,0.12697911262512207,aws,python
10240,0.10448765754699707,0.10256290435791016,aws,python
10240,0.09138727188110352,0.0894918441772461,aws,python
10240,0.08752036094665527,0.08576440811157227,aws,python
10240,0.09118366241455078,0.08931255340576172,aws,python
10240,0.12404847145080566,0.12223386764526367,aws,python
10240,0.08954524993896484,0.08778500556945801,aws,python
10240,0.10983586311340332,0.10794734954833984,aws,python
10240,0.09016823768615723,0.08837175369262695,aws,python
10240,0.0915365219116211,0.08971023559570312,aws,python
10240,0.10779261589050293,0.1060338020324707,aws,python
10240,0.0874626636505127,0.08561515808105469,aws,python
10240,0.10414695739746094,0.10229802131652832,aws,python
10240,0.11059284210205078,0.10864448547363281,aws,python
10240,0.08676886558532715,0.08493185043334961,aws,python
10240,0.0915062427520752,0.08971524238586426,aws,python
10240,0.1200108528137207,0.1182403564453125,aws,python
10240,0.09047913551330566,0.08864736557006836,aws,python
10240,0.12389612197875977,0.12208867073059082,aws,python
10240,0.10551643371582031,0.10367250442504883,aws,python
10240,0.08787178993225098,0.08600330352783203,aws,python
10240,0.1195378303527832,0.11776852607727051,aws,python
10240,0.08919954299926758,0.08733415603637695,aws,python
10240,0.08836054801940918,0.0866398811340332,aws,python
10240,0.08743739128112793,0.08553600311279297,aws,python
10240,0.09575772285461426,0.0939631462097168,aws,python
10240,0.08656573295593262,0.08474969863891602,aws,python
10240,0.08917713165283203,0.08741998672485352,aws,python
10240,0.09116673469543457,0.08936548233032227,aws,python
10240,0.07061290740966797,0.06866931915283203,aws,python
10240,0.4696681499481201,0.46776747703552246,aws,python
10240,0.1213681697845459,0.11955809593200684,aws,python
10240,0.10555648803710938,0.10374808311462402,aws,python
10240,0.1245574951171875,0.12282252311706543,aws,python
10240,0.10453605651855469,0.10282564163208008,aws,python
10240,0.1058347225189209,0.10400390625,aws,python
10240,0.10801291465759277,0.10613894462585449,aws,python
10240,0.06702041625976562,0.0652170181274414,aws,python
10240,0.09913396835327148,0.09724593162536621,aws,python
10240,0.10310649871826172,0.10132861137390137,aws,python
10240,0.08984637260437012,0.08797430992126465,aws,python
10240,0.12358283996582031,0.12181401252746582,aws,python
10240,0.10396170616149902,0.10216093063354492,aws,python
10240,0.10909032821655273,0.1072077751159668,aws,python
10240,0.11952805519104004,0.11767029762268066,aws,python
10240,0.08668684959411621,0.08485722541809082,aws,python
10240,0.08820819854736328,0.08641457557678223,aws,python
10240,0.08711123466491699,0.0852813720703125,aws,python
10240,0.1010894775390625,0.09937405586242676,aws,python
10240,0.10474610328674316,0.10281658172607422,aws,python
10240,0.08821940422058105,0.08646559715270996,aws,python
10240,0.10552501678466797,0.1037290096282959,aws,python
10240,0.12123346328735352,0.11951494216918945,aws,python
10240,0.09108114242553711,0.08927154541015625,aws,python
10240,0.11685705184936523,0.11513304710388184,aws,python
10240,0.10707926750183105,0.10511207580566406,aws,python
10240,0.08874726295471191,0.08687901496887207,aws,python
10240,0.10776329040527344,0.10594463348388672,aws,python
10240,0.10186576843261719,0.10011792182922363,aws,python
10240,0.3225274085998535,0.3207237720489502,aws,python
10240,0.0886240005493164,0.08681154251098633,aws,python
10240,0.10452771186828613,0.10278892517089844,aws,python
10240,0.12396788597106934,0.12214851379394531,aws,python
10240,0.23442673683166504,0.2325901985168457,aws,python
10240,0.10388422012329102,0.10208606719970703,aws,python
10240,0.087249755859375,0.08540725708007812,aws,python
10240,0.09995746612548828,0.09814572334289551,aws,python
