fsize,func_elapsed,fwrite_elapsed,provider,lang
1024,0.0008783,0.000710501,azure,javascript
1024,0.000882401,0.000712399,azure,javascript
1024,0.000957501,0.000801600,azure,javascript
1024,0.0008754,0.0007111,azure,javascript
1024,0.000877000,0.000717499,azure,javascript
1024,0.000875300,0.0007158,azure,javascript
1024,0.000855799,0.000701601,azure,javascript
1024,0.0008549,0.000687700,azure,javascript
1024,0.000849799,0.0006932,azure,javascript
1024,0.000868001,0.000714100,azure,javascript
1024,0.000929,0.000773299,azure,javascript
1024,0.000898300,0.000739999,azure,javascript
1024,0.000857001,0.000704200,azure,javascript
1024,0.000827801,0.0006692,azure,javascript
1024,0.000852999,0.000700300,azure,javascript
1024,0.000859301,0.000700299,azure,javascript
1024,0.0008599,0.000704601,azure,javascript
1024,0.000865299,0.000709499,azure,javascript
1024,0.000873499,0.000716601,azure,javascript
1024,0.000861101,0.000706701,azure,javascript
1024,0.001159899,0.0009966,azure,javascript
1024,0.000859200,0.000705299,azure,javascript
1024,0.0008712,0.000718700,azure,javascript
1024,0.000880399,0.000725800,azure,javascript
1024,0.0022246,0.002061101,azure,javascript
1024,0.003261401,0.003106001,azure,javascript
1024,0.0009166,0.000755599,azure,javascript
1024,0.002160901,0.002005500,azure,javascript
1024,0.001687699,0.001521200,azure,javascript
1024,0.0011611,0.000903701,azure,javascript
1024,0.0010938,0.0009305,azure,javascript
1024,0.000845899,0.0006926,azure,javascript
1024,0.000907699,0.0007496,azure,javascript
1024,0.000825000,0.000669901,azure,javascript
1024,0.000910101,0.000754601,azure,javascript
1024,0.000867800,0.000701101,azure,javascript
1024,0.000860800,0.000707200,azure,javascript
1024,0.000822599,0.0006509,azure,javascript
1024,0.001270100,0.001113100,azure,javascript
1024,0.000846599,0.0006868,azure,javascript
1024,0.0008605,0.0007064,azure,javascript
1024,0.000890400,0.0007341,azure,javascript
1024,0.000874301,0.000698201,azure,javascript
1024,0.000872199,0.000717899,azure,javascript
1024,0.000819099,0.000664199,azure,javascript
1024,0.000857501,0.000693601,azure,javascript
1024,0.000831199,0.000675800,azure,javascript
1024,0.000854101,0.000695000,azure,javascript
1024,0.0008373,0.000682,azure,javascript
1024,0.000851201,0.000696300,azure,javascript
1024,0.000853901,0.0006859,azure,javascript
1024,0.000892700,0.000737700,azure,javascript
1024,0.000850601,0.0006957,azure,javascript
1024,0.000862501,0.000699899,azure,javascript
1024,0.0008342,0.000677501,azure,javascript
1024,0.000869601,0.000703899,azure,javascript
1024,0.004362201,0.002461400,azure,javascript
1024,0.000852700,0.000680601,azure,javascript
1024,0.000920700,0.000719100,azure,javascript
1024,0.000853901,0.000699699,azure,javascript
1024,0.000861301,0.000700999,azure,javascript
1024,0.000857099,0.000701699,azure,javascript
1024,0.000852900,0.0007002,azure,javascript
1024,0.000856401,0.000703000,azure,javascript
1024,0.000852,0.000695101,azure,javascript
1024,0.000827701,0.000673499,azure,javascript
1024,0.001202501,0.0010026,azure,javascript
1024,0.000860101,0.0007027,azure,javascript
1024,0.000855400,0.000698799,azure,javascript
1024,0.0008329,0.000679700,azure,javascript
1024,0.000849300,0.000697199,azure,javascript
1024,0.000856601,0.000693,azure,javascript
1024,0.001346601,0.0011934,azure,javascript
1024,0.000977599,0.000813100,azure,javascript
1024,0.000804899,0.000651299,azure,javascript
1024,0.0008674,0.000704601,azure,javascript
1024,0.000903099,0.000747699,azure,javascript
1024,0.000855800,0.000703800,azure,javascript
1024,0.0008641,0.0007067,azure,javascript
1024,0.0008603,0.000706201,azure,javascript
1024,0.000860401,0.000706500,azure,javascript
1024,0.000787301,0.000624799,azure,javascript
1024,0.000862301,0.000710100,azure,javascript
1024,0.000870299,0.000710900,azure,javascript
1024,0.0072781,0.005434100,azure,javascript
1024,0.000892501,0.000728601,azure,javascript
1024,0.000826699,0.000674501,azure,javascript
1024,0.001575,0.000990300,azure,javascript
1024,0.000881601,0.000728099,azure,javascript
1024,0.000835101,0.000682901,azure,javascript
1024,0.085500601,0.000723199,azure,javascript
1024,0.000832099,0.000685301,azure,javascript
1024,0.000894,0.000744200,azure,javascript
1024,0.000866500,0.000713699,azure,javascript
1024,0.004534201,0.004385601,azure,javascript
1024,0.0045868,0.0044376,azure,javascript
1024,0.000769799,0.000622299,azure,javascript
1024,0.000862700,0.000710700,azure,javascript
1024,0.000832000,0.000661,azure,javascript
1024,0.000833601,0.0006386,azure,javascript
