fsize,func_elapsed,fwrite_elapsed,provider,lang
10240,0.004038900,0.003554300,azure,javascript
10240,0.001217701,0.000743799,azure,javascript
10240,0.001870601,0.0007693,azure,javascript
10240,0.076120699,0.001016300,azure,javascript
10240,0.001214801,0.000721600,azure,javascript
10240,0.001198201,0.0007265,azure,javascript
10240,0.0012044,0.000720299,azure,javascript
10240,0.001290901,0.000771401,azure,javascript
10240,0.0012155,0.0007454,azure,javascript
10240,0.001278601,0.000785799,azure,javascript
10240,0.001206099,0.0007248,azure,javascript
10240,0.001203100,0.000732299,azure,javascript
10240,0.001209301,0.0007376,azure,javascript
10240,0.0015555,0.001058800,azure,javascript
10240,0.001273,0.000801101,azure,javascript
10240,0.001204299,0.0007345,azure,javascript
10240,0.001648000,0.0011797,azure,javascript
10240,0.0018125,0.001153700,azure,javascript
10240,0.001298500,0.0008072,azure,javascript
10240,0.001216,0.000744400,azure,javascript
10240,0.0025113,0.002038000,azure,javascript
10240,0.001481101,0.000981400,azure,javascript
10240,0.0012504,0.000744400,azure,javascript
10240,0.0013458,0.0008758,azure,javascript
10240,0.001205501,0.0007274,azure,javascript
10240,0.001205999,0.000732999,azure,javascript
10240,0.0012202,0.0007406,azure,javascript
10240,0.001203399,0.000731601,azure,javascript
10240,0.001472600,0.000945601,azure,javascript
10240,0.001635001,0.000743799,azure,javascript
10240,0.0012231,0.000737500,azure,javascript
10240,0.0012856,0.0007374,azure,javascript
10240,0.001649899,0.0011808,azure,javascript
10240,0.001174000,0.000661100,azure,javascript
10240,0.0012308,0.000762000,azure,javascript
10240,0.001263699,0.00079,azure,javascript
10240,0.001221900,0.0007447,azure,javascript
10240,0.001213601,0.000745100,azure,javascript
10240,0.001208500,0.0007364,azure,javascript
10240,0.001210599,0.000743399,azure,javascript
10240,0.001791399,0.001323999,azure,javascript
10240,0.0012075,0.000740500,azure,javascript
10240,0.001181901,0.000679501,azure,javascript
10240,0.0025393,0.002062001,azure,javascript
10240,0.001195500,0.000727399,azure,javascript
10240,0.001971301,0.000744199,azure,javascript
10240,0.001370099,0.000900101,azure,javascript
10240,0.001204301,0.000727401,azure,javascript
10240,0.001161101,0.000691701,azure,javascript
10240,0.001331099,0.000807901,azure,javascript
10240,0.0012065,0.0007376,azure,javascript
10240,0.0013369,0.000853699,azure,javascript
10240,0.001224699,0.000740500,azure,javascript
10240,0.0012033,0.0007303,azure,javascript
10240,0.001200601,0.000732001,azure,javascript
10240,0.001346699,0.0007372,azure,javascript
10240,0.013636099,0.0131678,azure,javascript
10240,0.0012229,0.000748099,azure,javascript
10240,0.001209099,0.000735599,azure,javascript
10240,0.001312200,0.0008367,azure,javascript
10240,0.001213100,0.0007418,azure,javascript
10240,0.0012189,0.000741900,azure,javascript
10240,0.001251901,0.000783799,azure,javascript
10240,0.001266501,0.0007563,azure,javascript
10240,0.0012072,0.000740301,azure,javascript
10240,0.0013913,0.0009244,azure,javascript
10240,0.0012155,0.000739799,azure,javascript
10240,0.001201901,0.000735899,azure,javascript
10240,0.001214600,0.0007401,azure,javascript
10240,0.0014131,0.0009441,azure,javascript
10240,0.0011663,0.0006844,azure,javascript
10240,0.001247801,0.000758,azure,javascript
10240,0.001203,0.000733101,azure,javascript
10240,0.0013006,0.000786501,azure,javascript
10240,0.001231801,0.0007638,azure,javascript
10240,0.001218601,0.000747399,azure,javascript
10240,0.001292700,0.0008094,azure,javascript
10240,0.0012225,0.000740101,azure,javascript
10240,0.001257900,0.000785301,azure,javascript
10240,0.001759601,0.001291600,azure,javascript
10240,0.0012921,0.000811000,azure,javascript
10240,0.001273801,0.000805401,azure,javascript
10240,0.001211900,0.000742901,azure,javascript
10240,0.001916199,0.001442199,azure,javascript
10240,0.001222,0.000751701,azure,javascript
10240,0.0011623,0.000690800,azure,javascript
10240,0.001199300,0.0007312,azure,javascript
10240,0.001617300,0.001147899,azure,javascript
10240,0.005600500,0.005127599,azure,javascript
10240,0.001252099,0.000779600,azure,javascript
10240,0.0011957,0.000718900,azure,javascript
10240,0.001218201,0.000735199,azure,javascript
10240,0.001218101,0.000749899,azure,javascript
10240,0.001238700,0.0007492,azure,javascript
10240,0.001213301,0.000741500,azure,javascript
10240,0.001249199,0.000780700,azure,javascript
10240,0.001296999,0.000818300,azure,javascript
10240,0.0012183,0.000748499,azure,javascript
10240,0.001191,0.000715901,azure,javascript
10240,0.001293401,0.000823999,azure,javascript
